v8-version,7,1,302,31,0
code-creation,Builtin,3,2049,0x55ecbd4f5540,41,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,2054,0x55ecbd4f5580,49,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2059,0x55ecbd4f55c0,12,HandleApiCall
code-creation,Builtin,3,2063,0x55ecbd4f55e0,12,HandleApiCallAsFunction
code-creation,Builtin,3,2067,0x55ecbd4f5600,12,HandleApiCallAsConstructor
code-creation,Builtin,3,2071,0x55ecbd4f5620,40,AllocateInNewSpace
code-creation,Builtin,3,2076,0x55ecbd4f5660,60,AllocateInOldSpace
code-creation,Builtin,3,2080,0x55ecbd4f56a0,743,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2084,0x55ecbd4f59a0,496,GrowFastDoubleElements
code-creation,Builtin,3,2089,0x55ecbd4f5ba0,456,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2093,0x55ecbd4f5d80,331,NewArgumentsElements
code-creation,Builtin,3,2097,0x55ecbd4f5ee0,444,DebugBreakTrampoline
code-creation,Builtin,3,2101,0x55ecbd4f60a0,112,FrameDropperTrampoline
code-creation,Builtin,3,2106,0x55ecbd4f6120,45,HandleDebuggerStatement
code-creation,Builtin,3,2110,0x55ecbd4f6160,382,ToObject
code-creation,Builtin,3,2114,0x55ecbd4f62e0,147,ToBoolean
code-creation,Builtin,3,2118,0x55ecbd4f6380,283,OrdinaryToPrimitive_Number
code-creation,Builtin,3,2122,0x55ecbd4f64a0,283,OrdinaryToPrimitive_String
code-creation,Builtin,3,2126,0x55ecbd4f65c0,225,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,2131,0x55ecbd4f66c0,225,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,2136,0x55ecbd4f67c0,225,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,2140,0x55ecbd4f68c0,91,StringToNumber
code-creation,Builtin,3,2144,0x55ecbd4f6920,131,ToName
code-creation,Builtin,3,2148,0x55ecbd4f69c0,309,NonNumberToNumber
code-creation,Builtin,3,2152,0x55ecbd4f6b00,321,NonNumberToNumeric
code-creation,Builtin,3,2156,0x55ecbd4f6c60,265,ToNumber
code-creation,Builtin,3,2160,0x55ecbd4f6d80,308,ToNumberConvertBigInt
code-creation,Builtin,3,2164,0x55ecbd4f6ec0,353,ToNumeric
code-creation,Builtin,3,2168,0x55ecbd4f7040,271,NumberToString
code-creation,Builtin,3,2172,0x55ecbd4f7160,347,ToString
code-creation,Builtin,3,2176,0x55ecbd4f72c0,486,ToInteger
code-creation,Builtin,3,2180,0x55ecbd4f74c0,506,ToInteger_TruncateMinusZero
code-creation,Builtin,3,2184,0x55ecbd4f76c0,542,ToLength
code-creation,Builtin,3,2188,0x55ecbd4f78e0,156,Typeof
code-creation,Builtin,3,2192,0x55ecbd4f7980,71,GetSuperConstructor
code-creation,Builtin,3,2196,0x55ecbd4f79e0,159,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,2201,0x55ecbd4f7a80,3003,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,2205,0x55ecbd4f8640,36,KeyedLoadIC_Slow
code-creation,Builtin,3,2209,0x55ecbd4f8680,14692,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,2214,0x55ecbd4fc000,40,KeyedStoreIC_Slow
code-creation,Builtin,3,2218,0x55ecbd4fc040,40,LoadGlobalIC_Slow
code-creation,Builtin,3,2222,0x55ecbd4fc080,88,LoadIC_FunctionPrototype
code-creation,Builtin,3,2229,0x55ecbd4fc0e0,36,LoadIC_Slow
code-creation,Builtin,3,2233,0x55ecbd4fc120,20,LoadIC_StringLength
code-creation,Builtin,3,2237,0x55ecbd4fc140,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,2241,0x55ecbd4fc160,3352,LoadIC_Uninitialized
code-creation,Builtin,3,2245,0x55ecbd4fce80,40,StoreGlobalIC_Slow
code-creation,Builtin,3,2249,0x55ecbd4fcec0,6612,StoreIC_Uninitialized
code-creation,Builtin,3,2254,0x55ecbd4fe8a0,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,2258,0x55ecbd4fe8e0,1228,EnqueueMicrotask
code-creation,Builtin,3,2262,0x55ecbd4fedc0,1684,RunMicrotasks
code-creation,Builtin,3,2266,0x55ecbd4ff460,2308,HasProperty
code-creation,Builtin,3,2270,0x55ecbd4ffd80,1032,DeleteProperty
code-creation,Builtin,3,2274,0x55ecbd5001a0,36,Abort
code-creation,Builtin,3,2278,0x55ecbd5001e0,36,AbortJS
code-creation,Builtin,3,2281,0x55ecbd500220,12,EmptyFunction
code-creation,Builtin,3,2285,0x55ecbd500240,12,Illegal
code-creation,Builtin,3,2289,0x55ecbd500260,12,StrictPoisonPillThrower
code-creation,Builtin,3,2293,0x55ecbd500280,12,UnsupportedThrower
code-creation,Builtin,3,2298,0x55ecbd5002a0,67,ReturnReceiver
code-creation,Builtin,3,2302,0x55ecbd500300,36,ArrayConstructor
code-creation,Builtin,3,2306,0x55ecbd500340,455,ArrayConstructorImpl
code-creation,Builtin,3,2310,0x55ecbd500520,235,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2315,0x55ecbd500620,235,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2321,0x55ecbd500720,199,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,2326,0x55ecbd500800,199,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2332,0x55ecbd5008e0,199,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,2338,0x55ecbd5009c0,199,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,2343,0x55ecbd500aa0,211,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,2349,0x55ecbd500b80,211,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2355,0x55ecbd500c60,559,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2360,0x55ecbd500ea0,523,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2366,0x55ecbd5010c0,487,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,2372,0x55ecbd5012c0,447,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2378,0x55ecbd501480,487,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,2383,0x55ecbd501680,447,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,2389,0x55ecbd501840,495,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,2395,0x55ecbd501a40,455,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2401,0x55ecbd501c20,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,2406,0x55ecbd501c80,5,InternalArrayConstructor
code-creation,Builtin,3,2410,0x55ecbd501ca0,118,InternalArrayConstructorImpl
code-creation,Builtin,3,2414,0x55ecbd501d20,191,InternalArrayNoArgumentConstructor_Packed
code-creation,Builtin,3,2419,0x55ecbd501de0,191,InternalArrayNoArgumentConstructor_Holey
code-creation,Builtin,3,2424,0x55ecbd501ea0,491,InternalArraySingleArgumentConstructor_Packed
code-creation,Builtin,3,2430,0x55ecbd5020a0,451,InternalArraySingleArgumentConstructor_Holey
code-creation,Builtin,3,2435,0x55ecbd502280,12,ArrayConcat
code-creation,Builtin,3,2439,0x55ecbd5022a0,150,ArrayIsArray
code-creation,Builtin,3,2442,0x55ecbd502340,12,ArrayPrototypeFill
code-creation,Builtin,3,2447,0x55ecbd502360,3212,ArrayFrom
code-creation,Builtin,3,2450,0x55ecbd503000,992,ArrayOf
code-creation,Builtin,3,2454,0x55ecbd503400,952,ArrayIncludesSmiOrObject
code-creation,Builtin,3,2458,0x55ecbd5037c0,120,ArrayIncludesPackedDoubles
code-creation,Builtin,3,2463,0x55ecbd503840,176,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,2471,0x55ecbd503900,631,ArrayIncludes
